token	lemma	POS	morph	treated
Tres	très	ADVgen	DEGRE=-	Tres
haute	haut	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	haute
amors	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r	amors
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
tant	tant	ADVgen	DEGRE=-	tant
s	soi1	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r	s
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
abaissie	abaissier	VERppe	NOMB.=s|GENRE=f|CAS=n	abaissie
qu	que4	CONsub	MORPH=empty	qu
avec	avuec	PRE	MORPH=empty	avec
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mon
cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r	cuer
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	se
defgna	deignier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	defgna
herbergier	herbergier	VERinf	MORPH=empty	herbergier
a	a3	PRE	MORPH=empty	a
faire	faire	VERinf	MORPH=empty	faire
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	un
chant	chant2	NOMcom	NOMB.=s|GENRE=m|CAS=r	chant
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	ma
prestee	prester	NOMcom	NOMB.=s|GENRE=f|CAS=r	prestee
saie	savoir	VERcjg	MODE=sub|NOMB.=s|GENRE=f|DEGRE=p	saie
si	si	ADVgen	DEGRE=-	si
chanterai	chanter	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	chanterai
car	car	CONcoo	MORPH=empty	car
por	por2	PRE	MORPH=empty	por
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	moi
enseignier	enseignier	VERinf	MORPH=empty	enseignier
a	a3	PRE	MORPH=empty	a
amors	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r	amors
pris	prendre	VERppe	NOMB.=p|GENRE=m|CAS=r	pris
en	en1	PRE	MORPH=empty	en
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	moi
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
herbergage	herberjage	NOMcom	NOMB.=s|GENRE=m|CAS=r	herbergage
et	et	CONcoo	MORPH=empty	et
se	se	CONsub	MORPH=empty	se
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
chant	chanter	VERcjg	MODE=ind|PERS.=1|NOMB.=s	chant
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
n	ne1	ADVneg	MORPH=empty	n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
pas	pas	ADVneg	MORPH=empty	pas
pas	pas	ADVneg	MORPH=empty	pas
par	par	PRE	MORPH=empty	par
usage	usage	NOMcom	NOMB.=s|GENRE=m|CAS=r	usage
ainz	ainz	ADVgen	DEGRE=-	ainz
vueill	voloir	NOMcom	NOMB.=s	vueill
chanter	chanter	VERinf	MORPH=empty	chanter
por	por2	PRE	MORPH=empty	por
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
que	que4	CONsub	MORPH=empty	que
cele	cel	DETdem	NOMB.=s|GENRE=f|CAS=n	cele
loie	loi3	NOMcom	TEMPS=pst|NOMB.=s|GENRE=f|CAS=n	loie
		PONfbl	MORPH=empty	
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	puet
faire	faire	VERinf	MORPH=empty	faire
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mon
duel	duel	NOMcom	NOMB.=s|GENRE=m|CAS=r	duel
devenir	devenir	VERinf	MORPH=empty	devenir
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r	joie
amors	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r	amors
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fist
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r	une
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	grant
courtoisie	cortoisie	NOMcom	NOMB.=s|GENRE=f|CAS=r	courtoisie
quant	cant1	CONsub	MORPH=empty	quant
en	en1	PRE	MORPH=empty	en
tel	tel	DETind	NOMB.=s|GENRE=m|CAS=r	tel
lieu	lieu	NOMcom	NOMB.=s|GENRE=m|CAS=r	lieu
vout	voloir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	vout
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mon
cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r	cuer
emploier	emploiier	VERinf	MORPH=empty	emploier
on	on	DETndf	NOMB.=s|GENRE=m|CAS=n	on
dex	dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r	dex
amis	ami	NOMcom	NOMB.=p|GENRE=m|CAS=r	amis
de	de	PRE	MORPH=empty	de
ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r	ses
biens	bien2	NOMcom	NOMB.=p|GENRE=m|CAS=r	biens
tel	tel	DETind	NOMB.=s|GENRE=f|CAS=r	tel
partie	partie	NOMcom	NOMB.=s|GENRE=f|CAS=r	partie
que	que4	CONsub	NOMB.=s|CAS=r	que
toz	tot	DETind	NOMB.=p|GENRE=m|CAS=n	toz
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
mons	monde1	NOMcom	NOMB.=s|GENRE=m|CAS=n	mons
i	i2	PROadv	MORPH=empty	i
avroit	avoir	VERcjg	MODE=con|PERS.=3|NOMB.=s	avroit
que	que4	CONsub	MORPH=empty	que
prisier	prisier	VERinf	MORPH=empty	prisier
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
cuidoie	cuidier1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s	cuidoie
qu	que4	CONsub	MORPH=empty	qu
amant	amer1	NOMcom	NOMB.=s|GENRE=m|CAS=n	amant
fussent	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=p	fussent
tuit	tot	DETind	NOMB.=p|GENRE=m|CAS=n	tuit
sa	son4	DETpos	PERS.=3|NOMB.=p|GENRE=f|CAS=n	sa
genn	gent1	NOMcom	NOMB.=p|GENRE=f|CAS=n	genn
sunt	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	sunt
par	par	PRE	MORPH=empty	par
dieu	dieu	NOMcom	NOMB.=s|GENRE=m|CAS=r	dieu
i	i2	PROadv	MORPH=empty	i
aim	amer1	VERcjg	MODE=ind|PERS.=1|NOMB.=s	aim
et	et	CONcoo	MORPH=empty	et
si	si	ADVgen	DEGRE=-	si
faz	faire	VERcjg	MODE=imp|TEMPS=pst|PERS.=2|NOMB.=s	faz
folage	folage	NOMcom	NOMB.=s|GENRE=m|CAS=n	folage
car	car	CONcoo	MORPH=empty	car
i	i2	PROadv	MORPH=empty	i
aim	amer1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	aim
cele	cel	PROdem	NOMB.=s|GENRE=f|CAS=r	cele
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
proier	priier	VERinf	MORPH=empty	proier
n	ne1	ADVneg	MORPH=empty	n
oseroie	oser	VERcjg	MODE=con|PERS.=1|NOMB.=s	oseroie
ne	ne2	CONcoo	MORPH=empty	ne
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
n	ne1	ADVneg	MORPH=empty	n
aooie	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s	aooie
ill	il	PROper	NOMB.=s|GENRE=m|CAS=n	ill
si	si	ADVgen	DEGRE=-	si
hardi	hardi	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	hardi
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
la	le	PROper	NOMB.=s|GENRE=f|CAS=r	la
voie	vëoir	NOMcom	MODE=sub|TEMPS=pst|NOMB.=s|GENRE=f	voie
cele	cel	DETdem	NOMB.=s|GENRE=f|CAS=r	cele
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
i	i2	PROadv	MORPH=empty	i
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	ai
m	je	PROper	NOMB.=s|GENRE=m|CAS=i	m
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
de	de	PRE	MORPH=empty	de
tel	tel	DETind	NOMB.=s|GENRE=f|CAS=r	tel
seignorie	seignorie	NOMcom	NOMB.=s|GENRE=f|CAS=r	seignorie
que	que4	CONsub	MORPH=empty	que
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=n	sa
brautez	brazat	NOMcom	NOMB.=s|GENRE=f|CAS=n	brautez
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fist
outrequidier	ostordier2	VERinf	MORPH=empty	outrequidier
quant	cant1	CONsub	MORPH=empty	quant
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
la	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r	la
voi	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	voi
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
ne	ne1	ADVneg	MORPH=empty	ne
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	sai
