token	lemma	POS	morph	treated
sanz	sans	PRE	MORPH=empty	sanz
atente	atente	NOMcom	NOMB.=s|GENRE=f|CAS=r	atente
de	de	PRE	MORPH=empty	de
guerredon	guerredon	NOMcom	NOMB.=s|GENRE=m|CAS=r	guerredon
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
otroi	otroiier	VERcjg	MODE=ind|PERS.=1|NOMB.=s	otroi
a	a3	PRE	MORPH=empty	a
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	ma
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=r	dame
seruir	servir	VERinf	MORPH=empty	seruir
puis	puis	ADVgen	DEGRE=-	puis
que	que4	CONsub	MORPH=empty	que
toutes	tot	DETind	PERS.=2|NOMB.=p|GENRE=f|CAS=r	toutes
entention	intencïon	NOMcom	NOMB.=s|GENRE=f|CAS=r	entention
atournee	atorner	VERppe	NOMB.=s|GENRE=f|CAS=n	atournee
vers	vers2	PRE	MORPH=empty	vers
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	moi
haiva	häir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	haiva
qu	que4	CONsub	MORPH=empty	qu
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	m
ocit	ocire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ocit
a	a3	PRE	MORPH=empty	a
desraison	desraisnier	NOMcom	NOMB.=s|GENRE=f|CAS=r	desraison
i	i2	PROadv	MORPH=empty	i
a	avoir	PRE	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
diex	dieu	NOMcom	NOMB.=s|GENRE=m|CAS=n	diex
maiz	mais1	CONcoo	GENRE=m|CAS=n	maiz
ne	ne1	ADVneg	MORPH=empty	ne
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	m
i	i2	PROadv	MORPH=empty	i
doint	doner	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	doint
joira	jöir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	joira
		PONfbl	MORPH=empty	
de	de	PRE	MORPH=empty	de
rienz	rien	PROind	NOMB.=p|GENRE=f|CAS=r	rienz
maiz	mais1	ADVgen	GENRE=m|CAS=r|DEGRE=-	maiz
que	que4	CONsub	MORPH=empty	que
du	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	du
tost	tost1	PROind	NOMB.=s	tost
morir	morir	VERinf	MORPH=empty	morir
autrement	autrement	ADVgen	DEGRE=-	autrement
ne	ne1	ADVneg	MORPH=empty	ne
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	puet
faillir	falir	VERinf	MORPH=empty	faillir
		PONfbl	MORPH=empty	
lire	lire1	VERinf	MORPH=empty	lire
donc	donc	ADVgen	DEGRE=-	donc
el	en1+le	PROper	NOMB.=s|GENRE=n|CAS=r	el
s	se	PROper	NOMB.=s|GENRE=m|CAS=r	s
e	et	CONcoo	MORPH=empty	e
t	tu	PROper	PERS.=2|NOMB.=s|GENRE=f|CAS=n	t
l	le	DETdef	NOMB.=s|GENRE=f|CAS=n	l
ochoiso	ocire	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s|GENRE=f|CAS=n	ochoiso
n	ne2	ADVneg	MORPH=empty	n
gran	grant	NOMpro	NOMB.=s|CAS=n|DEGRE=p	gran
t	tu	DETpos	PERS.=2|NOMB.=s|GENRE=f|CAS=r	t
mestie	mestier	NOMcom	PERS.=3|NOMB.=s|GENRE=f|CAS=n	mestie
r	OUT	PRE	GENRE=m|CAS=r	r
a	avoir	NOMpro	MODE=ind|TEMPS=pst|NOMB.=s	a
d	de	NOMpro	MORPH=empty	d
e	et	CONcoo	MORPH=empty	e
guerredo	guerredon	NOMpro	TEMPS=psp|NOMB.=s|GENRE=m|CAS=r	guerredo
n	ne2	ADVneg	MORPH=empty	n
qu	que4	PROrel	NOMB.=s	qu
i	i2	PROimp	MORPH=empty	i
ain	amer1	VERcjg	MODE=ind|PERS.=3|NOMB.=s|DEGRE=-	ain
e	et	CONcoo	MORPH=empty	e
n	ne2	ADVneg	MORPH=empty	n
e	et	CONcoo	MORPH=empty	e
fin	fin2	NOMcom	MODE=ind|NOMB.=s|GENRE=f	fin
a	avoir	VERcjg	MODE=ind|TEMPS=pst	a
deserui	deservir	VERppe	NOMB.=s|GENRE=m|CAS=r	deserui
r	ror2	PRE	GENRE=m	r
e	et	CONcoo	MORPH=empty	e
t	tu	PROper	NOMB.=s|CAS=n	t
g	je	PROimp	PERS.=1|NOMB.=s|GENRE=m|CAS=n	g
i	i2	PROadv	MORPH=empty	i
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
i	i2	PROimp	MORPH=empty	i
s	soi1	CONsub	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
i	i2	PROadv	MORPH=empty	i
mententio	mentir	VERcjg	TEMPS=psp|PERS.=1|NOMB.=s	mententio
n	ne2	ADVneg	MORPH=empty	n
q	que4	CONsub	MORPH=empty	q
u	o3	CONcoo	NOMB.=s|GENRE=n	u
i	i2	PROimp	MORPH=empty	i
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	m
e	en2	VERcjg	MORPH=empty	e
convien	covine	VERcjg	MODE=ind|PERS.=1|NOMB.=s	convien
t	tu	PROper	NOMB.=s|CAS=n	t
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=n	mon
bien	bien1	ADVgen	DEGRE=p	bien
haiva	häir	VERcjg	MODE=ind|TEMPS=psp|NOMB.=s	haiva
pout	pöoir	VERcjg	MODE=ind|NOMB.=s	pout
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
si	se	CONsub	DEGRE=-	si
tief	tier	NOMcom	NOMB.=s|GENRE=m|CAS=r	tief
g	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	g
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
des	de+le	PRE.DETdef	NOMB.=p|GENRE=f|CAS=r	des
raison	raison	NOMcom	NOMB.=s|GENRE=f|CAS=r	raison
		PONfbl	MORPH=empty	
de	de	PRE	MORPH=empty	de
touz	tot	DETind	NOMB.=p|GENRE=m|CAS=r	touz
jours	jor	NOMcom	NOMB.=p|GENRE=m|CAS=r	jours
amer	Belamer	VERinf	MORPH=empty	amer
sanz	sans	PRE	MORPH=empty	sanz
merrr	marrir	VERinf	MORPH=empty	merrr
mainz	maint	DETind	NOMB.=p|CAS=r	mainz
aim	amer1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	aim
tel	tel	DETind	NOMB.=s|GENRE=f|CAS=r	tel
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r	vie
que	que4	CONsub	CAS=r	que
morir	morir	VERinf	MORPH=empty	morir
quar	car	CONcoo	DEGRE=-	quar
a	a3	PRE	MORPH=empty	a
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
ne	ne2	ADVneg	MORPH=empty	ne
pui	pui	VERcjg	MODE=ind|PERS.=1|NOMB.=s|CAS=r	pui
,	,	PONfbl	MORPH=empty	,
i	i2	PROadv	NOMB.=s	i
e	en2	CONcoo	MORPH=empty	e
failli	falir	VERppe	NOMB.=s	failli
r	ror2	PRE	GENRE=m	r
s	se	DETpos	PERS.=3|GENRE=m|CAS=r	s
i	i2	PROadv	NOMB.=s	i
