token	lemma	POS	morph	treated
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
douz	douz	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	douz
pensers	penser	NOMcom	NOMB.=s|CAS=n	pensers
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
douz	douz	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	douz
souvenirs	sovenir	NOMcom	NOMB.=s|GENRE=m|CAS=r	souvenirs
mi	mi2	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	mi
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fait
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mon
cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r	cuer
espanre	espandre	VERinf	GENRE=m	espanre
de	de	PRE	MORPH=empty	de
chanter	chanter	VERinf	MORPH=empty	chanter
fine	fin2	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	fine
amor	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r	amor
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
ne	ne1	ADVneg	MORPH=empty	ne
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
i	i2	PROadv	MORPH=empty	i
lait	laissier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	lait
durer	durer	VERinf	MORPH=empty	durer
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fait
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r	les
siens	suen	PROpos	PERS.=2|NOMB.=p|GENRE=m|CAS=r	siens
en	en1	PRE	MORPH=empty	en
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r	joie
maintenir	maintenir	VERinf	MORPH=empty	maintenir
met	metre2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	met
es	en1+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r	es
cuers	cuer2	NOMcom	NOMB.=p|GENRE=m|CAS=r	cuers
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
douce	douz	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	douce
remembrance	remembrance	NOMcom	NOMB.=s|CAS=r	remembrance
por	por2	PRE	MORPH=empty	por
cest	cest	DETdem	NOMB.=s|GENRE=f|CAS=r	cest
amors	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r	amors
de	de	PRE	MORPH=empty	de
trop	trop	ADVgen	DEGRE=-	trop
haute	haut	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	haute
poissance	poissance	NOMcom	NOMB.=s|GENRE=f|CAS=r	poissance
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
en	en1	PROadv	MORPH=empty	en
esmai	esmai	VERcjg	TEMPS=psp|PERS.=3|NOMB.=s	esmai
fait	faire	VERppe	MODE=ind|NOMB.=s|GENRE=m|CAS=r	fait
home	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r	home
