token	normalised
Grant	grant
pechie	pechie
fait	fait
qui	qui
de	de
chanter	chanter
me	me
prie	prie
car	car
sanz	sanz
raison	raison
nest	nest
pas	pas
drois	drois
que	que
ie	je
chant	chant
nonques	nonques
chancon	chancon
ne	ne
fis	fis
iour	jour
de	de
ma	ma
uie	vie
se	se
fine	fine
amours	amours
nel	nel
mẽseigna	menseigna
auant	avant
maiz	maiz
pour	pour
le	le
gre	gre
chanterai	chanterai
sanz	sanz
talant	talant
ausint	ausint
com	com
cil	cil
qui	qui
par	par
acoustumance	acoustumance
	
font	font
tes	tes
chancons	chancons
u	u
na	na
fors	fors
contenance	contenance
Ie	Ee
sai	sai
de	de
poir	poira
se	se
de	de
loral	loral
amie	amie
pooie	pooie
auoir	avoir
a	a
ioie	joie
un	un
bel	bel
samblant	samblant
que	que
iai	Kai
un	un
cuer	cuer
qui	qui
de	de
legier	legier
oublie	oublie
ire	ire
et	et
trauaill	travaill
et	et
fausse	fausse
deceuant	decevant
qui	qui
longement	longement
ma	ma
troue	trove
sanz	sanz
guarant	guarant
tolu	tolu
mauoit	mavoit
mon	mon
cuer	cuer
par	par
mescheance	mescheance
maiz	maiz
rescous	rescous
lai	lai
apainne	apainne
et	et
agreuance	agrevance
	
Ie	Ee
ne	ne
di	di
pas	pas
camours	camours
se	se
soit	soit
partie	partie
de	de
mon	mon
fin	fin
cuer	cuer
ia	ja
ne	ne
uuie	vuie
ie	je
tant	tant
maiz	maiz
einsint	einsint
est	est
que	que
felon	felon
et	et
enuie	envie
	
mont	mont
trop	trop
mal	mal
fet	fet
bien	bien
est	est
apparissant	apparissant
souent	sovent
me	me
font	font
membrer	membrer
en	en
souspirant	souspirant
conques	conques
ne	ne
fu	fu
si	si
crueux	crueux
desseurance	dessevrance
	
ꝯme	comme
de	de
ioie	joie
et	et
de	de
douce	douce
acointance	acointance
uolage	volage
cuer	cuer
et	et
ondiere	ondiere
folie	folie
ont	ont
maint	maint
anui	anui
fet	fet
aloial	alofal
amant	amant
auoir	avoir
cuidai	cuidai
ioieuse	joieuse
ꝯpaignie	compaignie
par	par
lonc	lonc
trauaill	travaill
amoureuz	amoureuz
desirrant	desirrant
maiz	maiz
losẽ	lossn
gier	giera
parfurent	parfurent
si	si
poissant	poissant
quil	quil
mõt	mont
tolu	tolu
ma	ma
loial	loial
esperance	esperance
de	de
la	la
grant	grant
ioie	joie
uiauoie	vravoie
fiance	fiance
Outrage	Outrage
ont	ont
fet	fet
orgueill	orgveill
et	et
felenie	felenie
qui	qui
se	se
sunt	sunt
mis	mis
en	en
la	la
pluz	pluz
auenant	avenant
qui	qui
onques	onques
fust	fust
a	a
ami	ami
anemie	anemie
et	et
qui	qui
pluz	pluz
abiaute	abiaute
douce	douce
et	et
pleisant	pleisant
merueilles	merveilles
faiz	faiz
quant	quant
ie	je
uois	vois
ramembrant	ramembrant
sa	sa
grant	grant
biaute	biaute
uie	vie
nai	nai
maiz	maiz
fiance	fiance
nen	nen
nul	nul
confort	confort
ne	ne
truis	truis
ịẹ	ioev
ma	ma
deliurance	deliurance
