token	normalised
COmmenceraı	commencerai
a	a
fere	fere
un	un
laı	lai
de	de
la	la
meıllor	meillor
forment	forment
mesmaı	mesmai
que	que
trop	trop
paraı	parai
fet	fet
de	de
dolor	dolor
dont	dont
michāt	michait
torront	torront
a	a
plor	plor
mere	mere
uırge	virge
sauoree	savoree
se	se
uos	vos
faıtez	faitez
demoree	demoree
de	de
proıer	proier
le	le
haut	haut
se	se
gnor	gnor
bıen	bien
doıt	doit
auoır	avoir
grant	grant
paor	paor
du	du
du	du
deable	deable
du	du
felon	felon
quı	qui
en	en
la	la
noıre	noire
prı	pri
son	son
nos	nos
uelt	velt
mener	mener
dont	dont
nus	nus
ne	ne
puet	puet
eschaper	eschaper
	E
ıaı	jai
forfet	forfet
douce	douce
dame	dame
a	a
per	per
dre	dre
le	le
cors	cors
	E
lame	lame
se	se
ne	ne
maıdıez	maidiez
douz	douz
dıex	diex
aıez	aiez
mercı	merci
de	de
mes	mes
uıx	vix
pechıez	pechiez
ou	ou
sera	sera
mercı	merci
trouee	trovee
sele	sele
est	est
de	de
uos	vos
re	re
fusee	fusee
sıre	sire
droıture	droiture
oublıez	oubliez
	E
destendez	destendez
uostre	vostre
corde	corde
sı	si
uiegne	viegne
miserıcorde	misericorde
por	por
nos	nos
aıdıer	aidier
nos	nos
auons	avons
de	de
droıt	droit
mestıer	mestier
qñt	quntt
seur	seur
toz	toz
estez	estez
puıssanz	puissanz
bıen	bien
deuez	devez
de	de
uos	vos
serıanz	serianz
auoır	avoir
mercı	merci
bıaux	biaux
douz	douz
sıre	sire
ıe	je
uos	vos
prı	pri
ne	ne
me	me
metez	metez
en	en
oublı	oubli
se	se
pıtıez	pitiez
ne	ne
uaint	vaint
ueniance	venfance
dont	dont
seronz	seronz
nos	nos
sās	saus
doutance	doutance
trop	trop
mal	mal
mene	mene
dame	dame
plene	plene
de	de
bonte	bonte
ur̃e	vome
douz	douz
moz	moz
sauore	savore
ne	ne
soıent	soient
pas	pas
oublıe	oublie
proıez	proiez
por	por
nos	nos
ıames	james
ne	ne
se	se
rons	rons
rescouz	rescouz
se	se
ne	ne
le	le
somes	somes
par	par
uos	vos
de	de
uoır	voir
le	le
sai	sai
	E
laısseraı	laisserai
	E
dex	dex
nos	nos
doınt	doint
sas̃	sast
delaı	delai
auoır	avoir
son	son
secors	secors
ueraȷ	verai
