token	normalised
En	en
icel	icel
tanz	tanz
que	que
ie	je
uoi	voi
la	la
fredour	fredour
noif	noif
et	et
gresill	gresill
remanoir	remanoir
et	et
boschage	boschage
	
foillissent	foillissent
tot	tot
encontre	encontre
la	la
doucour	doucour
	
du	du
tanz	tanz
deste	deste
chantent	chantent
oisel	oisel
sauuage	savuage
et	et
resbaudit	resbaudit
chante	chante
chascuns	chascuns
en	en
son	son
langage	langage
Ha	ma
	
las	las
chaitis	chaitis
et	et
ie	je
tout	tout
ades	ades
plour	plour
fors	fors
quen	quen
chantant	chantant
ramentoif	ramentoif
ma	ma
dolour	dolour
que	que
iai	Kai
souferte	souferte
ades	ades
en	en
mon	mon
corage	corage
morir	morir
en	en
cuit	cuit
quar	quar
point	point
ne	ne
massoage	massoage
Esfreez	esfreez
sui	sui
durement	durement
de	de
paour	paour
quades	quades
i	il
uoi	voi
ma	ma
perte	perte
et	et
mon	mon
damage	damage
mout	mout
aeste	aeste
longement	longement
aseiour	asejour
	
oie	oie
en	en
mon	mon
cuer	cuer
apou	apou
que	que
ie	je
nenrage	nenrage
si	si
neu	neu
pieca	preca
grant	grant
ioie	joie
en	en
mon	mon
corage	corage
maintenue	maintenue
ai	ai
ades	ades
loial	loial
amour	amour
dont	dont
ia	ja
ne	ne
quit	quit
uis	vis
eschaper	eschaper
nul	nul
iour	jour
que	que
nus	nus
ne	ne
puet	puet
guerit	guerit
de	de
tel	tel
malage	malage
	
sil	sil
na	na
le	le
cuer	cuer
felon	felon
faus	faus
et	et
rolage	rolage
Qui	qui
ꝯ	com
blasme	blasme
ie	je
ai	ai
mout	mout
grant	grant
honour	honour
destre	destre
loial	loial
si	si
men	men
tieig	tiefg
a	a
pluz	pluz
sage	sage
et	et
tout	tout
auant	avant
ai	ai
ie	je
pris	pris
le	le
piour	pfour
quar	quar
pris	pris
men	men
sui	sui
acruel	acrvel
seignourage	seignourage
si	si
mi	mi
sui	sui
touz	touz
otroiez	otroiez
en	en
seruage	servage
las	las
gi	gi
cuidai	cuidai
trouuer	trouver
si	si
grant	grant
doucour	doucour
	
quant	quant
ie	je
loi	loi
tenir	tenir
a	a
la	la
meillour	meillour
maiz	maiz
ne	ne
sauoie	savoie
mie	mie
biẽ	bienre
son	son
usage	usage
gi	gi
ai	ai
trouue	trouue
felenie	felenie
et	et
outrage	outrage
Ce	Ce
poise	poise
moi	moi
quil	quil
men	men
couuient	couuient
blasmer	blasmer
quar	quar
iai	Kai
este	este
lonc	lonc
tanz	tanz
en	en
sabaillie	sabaillie
ie	je
men	men
amaisse	amaisse
assez	assez
mieuz	mieuz
aloer	aloer
maiz	maiz
mile	mile
foiz.	foir.
uers	vers
moi	moi
ne	ne
sumelie	sumelie
si	si
est	est
bien	bien
drois	drois
que	que
uerite	verite
en	en
die	die
ie	je
ne	ne
sai	sai
point	point
losengier	losengier
ne	ne
chuer	chver
ne	ne
de	de
bonte	bonte
ie	je
ne	ne
men	men
sai	sai
loer	loer
quele	quele
ni	ni
est	est
ne	ne
ie	je
nen	nen
itruis	itruis
mie	mie
ne	ne
sui	sui
pas	pas
cil	cil
qui	qui
auant	avant
coup	coup
mercie	mercie
Or	Or
ne	ne
me	me
sai	sai
ie	je
mais	mais
en	en
qui	qui
fier	fiera
puz	puz
que	que
dele	dele
que	que
iaim	Kaima
me	me
contralie	contralie
qui	qui
me	me
deust	deust
de	de
touz	touz
mes	mes
maus	maus
saner	saner
et	et
cest	cest
cele	cele
qui	qui
du	du
tout	tout
me	me
desfie	desfie
si	si
me	me
het	het
pluz	pluz
que	que
au	au
tolir	tolir
la	la
uie	vie
tost	tost
me	me
decut	decut
par	par
biau	biau
samblant	samblant
moustrer	moustrer
par	par
contenance	contenance
et	et
par	par
son	son
biau	biau
parler	parler
or	or
nai	nai
de	de
li	li
ne	ne
confort	confort
ne	ne
aie	aie
	
ie	je
ni.cuidoie	nirculdoie
auoir	avoir
mort	mort
desseruie	desseruie
