token	normalised
Chanters	chanters
me	me
plaist	plaist
qui	qui
de	de
ioie	joie
est	est
norriz	norriz
quar	quar
par	par
esfors	esfors
ne	ne
puet	puet
nus	nus
chãcon	chancon
faire	faire
puis	puis
que	que
soulaz	soulaz
est	est
de	de
fin	fin
cuer	cuer
partiz	partiz
painne	painne
icouuient	icouuient
ainz	ainz
ꝯ	com
li	li
puist	puist
retraire	retraire
maiz	maiz
cil	cil
quamours	quamours
et	et
talens	talens
fait	fait
chanter	chanter
de	de
legier	legier
puet	puet
bone	bone
chancon	chancon
trouuer	trouver
ce	ce
que	que
nus	nus
hom	hom
ne	ne
feroit	feroit
sanz	sanz
amer	amer
De	de
bone	bone
amour	amour
est	est
mes	mes
cuers	cuers
esiois	esjois
onques	onques
nama	nama
cil	cil
qui	qui
sen	sen
puet	puet
retraire	retraire
li	li
anuious	anvjous
en	en
font	font
plaintes	plaintes
et	et
cris	cris
quele	quele
ne	ne
deigne	deigne
ason	ason
seruice	seruice
atraire	atraire
maiz	maiz
ma	ma
dame	dame
doi	doi
ie	je
mout	mout
mercier	mercier
qui	qui
nuit	nuit
et	et
iour	jour
me	me
fait	fait
ali	ali
penser	penser
si	si
ne	ne
me	me
puet	puet
de	de
rienz	rienz
tant	tant
honorer	honorer
Quant	quant
ie	je
regart	regart
son	son
cors	cors
et	et
ioi	Ooine
ses	ses
dis	dis
et	et
uoi	voi
son	son
uis	vis
touz	touz
li	li
cors	cors
men	men
esclaire	esclaire
apres	apres
en	en
sui	sui
dolanz	dolanz
et	et
esbahiz	esbahiz
	
quant	quant
ie	je
ne	ne
puis	puis
de	de
grãt	grant
ioie	joie
achief	achref
traire	traire
et	et
ie	je
conment	conment
quant	quant
nos	nos
ali	ali
parler	parler
ne	ne
nai	nai
uoloir	voloir
quele	quele
deignast	deignast
cuider	cuider
tant	tant
me	me
ꝯuient	convient
sa	sa
grant	grant
ualour	valour
douter	douter
