token	normalised
En	en
cel	cel
tanz	tanz
que	que
uoi	voi
former	former
les	les
arbres	arbres
et	et
blanchoier	blanchoier
mest	mest
pris	pris
talenz	talenz
de	de
chanter	chanter
si	si
nen	nen
eusse	eusse
mestier	mestier
quamours	quamours
me	me
fet	fet
cõ	com
perer	perer
ce	ce
conques	conques
ne	ne
seu	seu
trichier	trichier
nonques	nonques
ne	ne
peu	peu
endurer	endurer
a	a
auoir	avoir
faus	faus
cuer	cuer
legier	legier
pour	pour
cai	cai
failli	failli
a	a
amie	amie
Mout	mout
par	par
me	me
seut	seut
bien	bien
greuer	grever
ce	ce
qui	qui
me	me
deust	deust
aidier	aidier
ce	ce
est	est
loiaument	loiaument
amer	amer
quailleurs	quailleurs
ne	ne
me	me
soi	soi
uengier	vengier
dieus	dieus
le	le
me	me
laist	laist
oublier	oublier
pour	pour
estre	estre
hors	hors
de	de
dangier	dangier
nonporquant	nonporquant
bien	bien
doi	doi
trouer	trover
	
folie	folie
quant	quant
ie	je
la	la
quier	quier
ha	ha
	
las	las
folours	folours
nest	nest
ce	ce
mie	mie
Atort	atort
mociez	mociez
amours	amours
que	que
point	point
nen	nen
deusse	deusse
auoir	avoir
marz	marz
ciaus	chaus
qui	qui
trichent	trichent
toz	toz
iours	jours
et	et
seruent	servent
pour	pour
deceuoir	decevoir
de	de
tant	tant
ma	ma
diex	diex
fet	fet
honour	honour
dont	dont
bon	bon
gre	gre
li	li
doi	doi
sauoir	savoir
cains	cains
ne	ne
ui	vi
hore	hore
de	de
iour	jour
	
que	que
ne	ne
me	me
feist	feist
doloir	doloir
ma	ma
douce	douce
dame	dame
anemie	anemie
Dame	dame
pour	pour
le	le
creatour	creatour
creez	creez
moi	moi
ie	je
uous	vous
di	di
uooir	vooir
quen	quen
moi	moi
na	na
tant	tant
de	de
ui	vi
gour	gour
que	que
le	le
uous	vous
face	face
sauoir	savoir
au	au
cuer	cuer
en	en
souspir	souspir
et	et
plour	plour
maiz	maiz
ne	ne
uous	vous
daigne	daigne
chaloir	chaloir
mieus	mieus
me	me
uenist	venist
q̃	que
ualour	valour
faussist	faussist
quant	quant
lalai	lalai
ueoir	veoir
et	et
biautez	brautez
et	et
cortoisie	cortoisie
Ha	ma
	
las	las
ie	je
uois	vois
reclamant	reclamant
ce	ce
qui	qui
me	me
fera	fera
morir	morir
quamours	quamours
naloit	naloit
el	el
querant	querant
	
maiz	maiz
que	que
me	me
peust	peust
trahir	trahir
de	de
moi	moi
ne	ne
uoi	voi
nul	nul
samblant	samblant
ꝯment	comment
ie	je
men	men
puisse	puisse
issir	issir
se	se
pitiez	pitiez
ne	ne
men	men
deslie	deslie
Amours	amours
ueut	veut
tout	tout
son	son
ꝯmant	commant
de	de
moi	moi
greuer	grever
aꝯplir	aomplir
maiz	maiz
merueille	merveille
est	est
que	que
iaun	jaun
tant	tant
as	as
maus	maus
que	que
me	me
fait	fait
soufrir	soufrir
ali	ali
motroi	motroi
et	et
ꝯmãt	commant
quar	quar
bien	bien
le	le
me	me
puet	puet
merir	merrr
nus	nus
qui	qui
