token	lemma	POS	morph	treated
Se	se	CONsub	DEGRE=-	Se
iai	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|DEGRE=-	iai
este	estre1	VERppe	NOMB.=s|GENRE=m	este
lonc	lonc	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	lonc
tanz	tant	NOMcom	NOMB.=s|GENRE=m|CAS=r|DEGRE=-	tanz
hors	hors	ADVgen	DEGRE=-	hors
du	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	du
paiz	päis	NOMcom	NOMB.=s|GENRE=m|CAS=r	paiz
et	et	CONcoo	MORPH=empty	et
tout	tot	ADVgen	MORPH=empty	tout
ades	adès	ADVgen	GENRE=m|CAS=r	ades
et	et	CONcoo	MORPH=empty	et
sans	sans	PRE	MORPH=empty	sans
gieu	jeu	NOMcom	NOMB.=s|GENRE=m|CAS=r	gieu
et	et	CONcoo	MORPH=empty	et
sanz	sans	PRE	MORPH=empty	sanz
ris	ris1	NOMcom	NOMB.=s|GENRE=m|CAS=r	ris
u	o3	CONcoo	NOMB.=s|CAS=i	u
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
aissai	ainsi	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s	aissai
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
rienz	rien	NOMcom	NOMB.=s|GENRE=f|CAS=r	rienz
que	que2	PROrel	NOMB.=s|GENRE=f|CAS=r	que
pluz	plus	ADVgen	DEGRE=-	pluz
amoie	amer1	VERcjg	MODE=ind|TEMPS=ipf|NOMB.=s|GENRE=f|CAS=r	amoie
de	de	PRE	MORPH=empty	de
maint	maint	DETind	NOMB.=s|GENRE=m|CAS=r	maint
ennui	enui	NOMcom	CAS=r	ennui
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
puis	puis	ADVgen	DEGRE=-	puis
este	estre1	VERppe	NOMB.=s|GENRE=m|CAS=r	este
seruis	servir	VERppe	NOMB.=s|GENRE=m	seruis
et	et	CONcoo	MORPH=empty	et
eschapez	eschaper	VERppe	NOMB.=s|GENRE=m|CAS=n	eschapez
de	de	PRE	MORPH=empty	de
perilleuse	perillos	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	perilleuse
uoie	voie	NOMcom	NOMB.=s|GENRE=f|CAS=r	uoie
et	et	CONcoo	MORPH=empty	et
se	se	CONsub	MORPH=empty	se
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
uueill	voloir	VERcjg	MODE=ind|PERS.=1|NOMB.=s	uueill
dire	dire	VERinf	MORPH=empty	dire
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=r	chose
dont	dont	PROrel	NOMB.=s|GENRE=f|CAS=i	dont
on	on	PROind	NOMB.=s|GENRE=n|CAS=n	on
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
croie	croire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	croie
		PONfbl	MORPH=empty	
gi	je	PROper	PERS.=1|GENRE=m	gi
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
este	estre1	NOMcom	NOMB.=s|GENRE=m|CAS=r	este
dolans	dolent	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	dolans
et	et	CONcoo	MORPH=empty	et
esbahiz	esbäir	VERppe	NOMB.=s|GENRE=m|CAS=n	esbahiz
et	et	CONcoo	MORPH=empty	et
tout	tot	ADVgen	NOMB.=s	tout
ades	adès	ADVgen	GENRE=m|CAS=r	ades
et	et	CONcoo	MORPH=empty	et
sanz	sans	PRE	MORPH=empty	sanz
gieu	jeu	NOMcom	NOMB.=s|GENRE=m|CAS=r	gieu
et	et	CONcoo	MORPH=empty	et
sanz	sans	PRE	MORPH=empty	sanz
ris	ris1	NOMcom	NOMB.=s|GENRE=m|CAS=r	ris
et	et	CONcoo	MORPH=empty	et
diex	dieu	NOMcom	NOMB.=s|GENRE=m|CAS=n	diex
merci	merci	NOMcom	NOMB.=s|GENRE=f|CAS=r	merci
et	et	CONcoo	MORPH=empty	et
dont	dont	PROint	NOMB.=s|GENRE=n	dont
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
uenist	venir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	uenist
ioie	vieil	NOMcom	NOMB.=s|GENRE=f|CAS=r	ioie
		PONfbl	MORPH=empty	
