token	lemma	POS	morph	treated
Sauez	savoir	VERcjg	MODE=imp|TEMPS=pst|PERS.=2|NOMB.=p	Sauez
pour	por2	PRE	MORPH=empty	pour
coi	coi2	PROrel	NOMB.=s|GENRE=m|CAS=i	coi
plaig	plaindre	NOMcom	NOMB.=s|CAS=r	plaig
et	et	CONcoo	MORPH=empty	et
souspir	sospirer	VERinf	MORPH=empty	souspir
seigneur	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	seigneur
nen	-	ADVneg	MORPH=empty	nen
faiz	faire	VERcjg	MODE=ind|PERS.=2|NOMB.=s	faiz
pas	pas	ADVneg	MORPH=empty	pas
ablasmer	aclamer	VERinf	MORPH=empty	ablasmer
touz	tot	DETind	NOMB.=p|GENRE=m|CAS=r	touz
iours	jor	NOMcom	NOMB.=p|GENRE=m|CAS=n|DEGRE=p	iours
mestuet	mestier	VERcjg	PERS.=3|NOMB.=s	mestuet
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	ma
mort	mort	NOMcom	NOMB.=s|GENRE=f|CAS=r	mort
seruir	servir	VERinf	MORPH=empty	seruir
damours	damoire	NOMcom	NOMB.=s|GENRE=f|CAS=r	damours
ne	ne2	ADVneg	MORPH=empty	ne
puis	pöoir	ADVgen	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	puis
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mon
cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r	cuer
oster	oster2	VERinf	MORPH=empty	oster
mes	mon1	DETpos	PERS.=1|NOMB.=p|GENRE=m|CAS=r	mes
honeurs	onor	NOMcom	NOMB.=p|GENRE=m|CAS=n	honeurs
mest	metre2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	mest
deinsint	desin	VERcjg	DEGRE=-	deinsint
morir	morir	VERinf	MORPH=empty	morir
si	si	ADVgen	DEGRE=-	si
en	en2	PRE	MORPH=empty	en
uueill	voloir	VERcjg	NOMB.=p	uueill
mieus	mieus	ADVgen	MORPH=empty	mieus
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	ma
mort	mort	NOMcom	NOMB.=s|GENRE=f|CAS=r	mort
soufrir	sofrir	VERinf	MORPH=empty	soufrir
tant	tant	ADVgen	DEGRE=-	tant
qua	cant1	CONsub	MORPH=empty	qua
pluz	plus	ADVgen	DEGRE=-	pluz
en	en2	PROadv	MORPH=empty	en
puisse	pöoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	puisse
monter	monter	VERinf	MORPH=empty	monter
Samours	Samur	NOMpro	NOMB.=s|GENRE=m|CAS=n	Samours
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fet
ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r	ses
maus	mal1	NOMcom	NOMB.=p|GENRE=m|CAS=r	maus
sentir	sentir	VERinf	MORPH=empty	sentir
ne	ne1	CONcoo	MORPH=empty	ne
men	je	PROpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	men
doit	devoir	PROrel	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	doit
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
mie	mie	ADVneg	MORPH=empty	mie
peser	peser	VERinf	MORPH=empty	peser
cautres	chaut	NOMcom	NOMB.=p|GENRE=m|CAS=r	cautres
nes	ne1+il	ADVneg.PROper	PERS.=3|NOMB.=p|GENRE=f|CAS=r	nes
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	puet
mes	mais1	ADVgen	PERS.=1	mes
soustenir	sostenir	VERinf	MORPH=empty	soustenir
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r	une
heure	ore3	NOMcom	NOMB.=s|GENRE=f|CAS=r	heure
sanz	sans	PRE	MORPH=empty	sanz
soi	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	soi
reposer	reposer	VERinf	MORPH=empty	reposer
mes	mais1	CONcoo	MORPH=empty	mes
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	sui
amis	ami	NOMcom	NOMB.=s|GENRE=m|CAS=n	amis
sanz	sans	PRE	MORPH=empty	sanz
mentir	mentir	VERinf	MORPH=empty	mentir
ia	ja	ADVgen	DEGRE=-	ia
diex	dieu	NOMcom	NOMB.=s|GENRE=m|CAS=n	diex
ne	ne1	ADVneg	MORPH=empty	ne
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
lait	laissier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	lait
repentir	repentir	VERinf	MORPH=empty	repentir
		PONfbl	MORPH=empty	
car	car	CONcoo	MORPH=empty	car
en	en1	PRE	MORPH=empty	en
amant	amer1	NOMcom	NOMB.=s|CAS=r	amant
uueil	voloir	NOMcom	PERS.=1|NOMB.=s	uueil
bien	bien1	ADVgen	DEGRE=p	bien
finer	finer	VERinf	MORPH=empty	finer
Amours	amor	NOMpro	NOMB.=s|GENRE=m|CAS=r	Amours
tel	tel	DETind	NOMB.=s|GENRE=f|CAS=r	tel
heure	ore3	NOMcom	NOMB.=s|GENRE=f|CAS=r	heure
ui	ui	ADVgen	DEGRE=-	ui
iadis	aidif	VERcjg	TEMPS=psp|PERS.=2|NOMB.=s|GENRE=m|DEGRE=-	iadis
que	que4	CONsub	MORPH=empty	que
uous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	uous
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
leissiez	laissier	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p	leissiez
en	en1	PRE	MORPH=empty	en
pais	pais	NOMcom	NOMB.=s|GENRE=f|CAS=r	pais
mes	mais1	CONcoo	MORPH=empty	mes
or	or4	ADVgen	DEGRE=-	or
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	sui
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
loiaus	lëal	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	loiaus
amis	ami	NOMcom	NOMB.=s|GENRE=m|CAS=n	amis
cautre	chartre1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	cautre
rienz	rien	PROind	NOMB.=s|GENRE=f|CAS=r	rienz
ne	ne1	ADVneg	MORPH=empty	ne
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
grieue	grever	VERcjg	TEMPS=pst|PERS.=2|NOMB.=s|CAS=n	grieue
mes	mais1	CONcoo	MORPH=empty	mes
serai	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	serai
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
donc	donc	ADVgen	DEGRE=-	donc
par	par	PRE	MORPH=empty	par
uous	vos	NOMcom	PERS.=2|NOMB.=p|GENRE=m|CAS=i	uous
ocis	ocire	VERppe	NOMB.=p|GENRE=m|CAS=r	ocis
ne	ne2	CONcoo	MORPH=empty	ne
nil	ne1+il	ADVneg	NOMB.=s|GENRE=m|CAS=r	nil
trop	trop	ADVgen	DEGRE=-	trop
auriez	avoir	VERcjg	MODE=con|PERS.=2|NOMB.=p|GENRE=m	auriez
mespris	mesprendre	VERppe	NOMB.=s|GENRE=m|CAS=r	mespris
quant	cant1	CONsub	MORPH=empty	quant
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
tout	tot	VERcjg	MODE=ind|NOMB.=s|GENRE=n	tout
pour	por2	PRE	MORPH=empty	pour
uous	vostre	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i	uous
seruir	servir	VERinf	MORPH=empty	seruir
laiz	lait1	NOMcom	NOMB.=p|GENRE=m|CAS=r|DEGRE=p	laiz
Ha	ha!	NOMpro	TEMPS=pst|CAS=r	Ha
cuers	cuer2	NOMcom	NOMB.=p|GENRE=m|CAS=r	cuers
de	de	PRE	MORPH=empty	de
noient	nïent	NOMcom	NOMB.=s|GENRE=m|CAS=r	noient
tesbahiz	tesable	VERppe	NOMB.=s|GENRE=m|CAS=r	tesbahiz
ia	ja	ADVgen	DEGRE=-	ia
nama	namer	VERcjg	TEMPS=psp|PERS.=3|NOMB.=s	nama
onques	onque	ADVgen	DEGRE=-	onques
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n	hom
mauuaiz	mauvais	ADJqua	NOMB.=s|GENRE=m|CAS=n	mauuaiz
serf	serf	NOMcom	NOMB.=s|GENRE=m	serf
tant	tant	ADVgen	DEGRE=-	tant
que	que4	CONsub	MORPH=empty	que
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=n	tu
aies	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=2|NOMB.=s	aies
conquis	conquerre	VERppe	NOMB.=s|GENRE=m|CAS=r	conquis
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
que	que4	PROrel	NOMB.=s|GENRE=n|CAS=r	que
pluz	plus	ADVgen	DEGRE=-	pluz
desirres	desirrer	VERcjg	NOMB.=s	desirres
touz	tot	DETind	NOMB.=p|GENRE=m|CAS=r	touz
dis	dire	VERcjg	TEMPS=pst|PERS.=2|NOMB.=s	dis
uoire	voir	VERinf	NOMB.=s	uoire
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=r	cors
maiz	mais1	CONcoo	CAS=r	maiz
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n	la
mors	mort	NOMcom	NOMB.=s|GENRE=f|CAS=n	mors
mest	metre2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	mest
prez	près	ADJqua	NOMB.=p|GENRE=m|CAS=r	prez
