token	normalised
Autres	autres
que	que
ie	je
ne	ne
sueill	sueill
fas	fas
	
mon	mon
chant	chant
des	des
autres	autres
mouioir	movjoir
quar	quar
ainc	ainc
ne	ne
fui	fui
un	un
iour	jour
las	las
	
damer	damer
cele	cele
amon	amon
pooir	pooir
qui	qui
si	si
me	me
tient	tient
en	en
ses	ses
las	las
	
de	de
li	li
ne	ne
me	me
puis	puis
mouoir	movoir
petit	petut
me	me
uaut	vaut
mon	mon
pourchaz	pourchaz
dune	dune
chose	chose
la	la
manas	manas
se	se
ie	je
muir	muir
par	par
son	son
uoloir	voloir
ce	ce
sera	sera
mauuez	mauvez
eschaz	eschaz
	
mainz	mainz
en	en
aura	avra
de	de
pooir	pooir
Son	son
gent	gent
cors	cors
et	et
si	si
bel	bel
braz	braz
	
me	me
font	font
en	en
samour	samour
manoir	manoir
son	son
simple	simple
uis	vis
ses	ses
reguars	reguars
mi	mi
sorent	sorent
si	si
deceuoir	decevoir
quen	quen
remirant	remrrant
son	son
soulaz	soulaz
ai	ai
mis	mis
trestout	trestout
mon	mon
pooir	pooir
ne	ne
sui	sui
mie	mie
espris	espris
a	a
gas	gas
se	se
iai	Kai
choisi	choisi
haut	haut
ou	ou
bas	bas
	
ie	je
ne	ne
men	men
doi	doi
trop	trop
doloir	doloir
ꝯ	com
pluz	pluz
en	en
sui	sui
clamez	clamez
las	las
	
mainz	mainz
ioie	joie
en	en
deurai	devrai
auoir	avoir
Ceste	Ceste
amour	amour
tendrai	tendrai
a	a
us	us
ia	ja
nen	nen
iere	iere
repentans	repentans
pluz	pluz
en	en
sui	sui
ardanz	ardanz
q̃	que
fus	fus
et	et
du	du
soufrir	soufrir
desirranz	desirranz
ce	ce
me	me
doit	doit
ualoir	valoir
mout	mout
pluz	pluz
quen	quen
bon	bon
gre	gre
sui	sui
receuans	recevans
bien	bien
doi	doi
estre	estre
secourus	secourus
quant	quant
de	de
ce	ce
dont	dont
irascus	irascus
	
deuroie	devroie
estͤ	estre
sui	sui
ioianz	joianz
droit	droit
ai	ai
quar	quar
pluz	pluz
sui	sui
q̃	que
mis	mis
	
atreshaut	atreshaut
don	don
atendanz	atendanz
De	de
moi	moi
estes	estes
au	au
desir	desir
granz	granz
et	et
bele	bele
et	et
auenanz	avenanz
ientiux	ientiux
et	et
de	de
dous	dous
salus	salus
cheueus	cheveus
blons	blons
face	face
plaisanz	plaisanz
ia	ja
niere	niere
iour	jour
recreus	recreus
qua	qua
uous	vous
ne	ne
soie	soie
pẽsans	pensans
se	se
ie	je
cest	cest
penser	penser
refus	refus
au	au
iour	jour
soie	soie
ie	je
pendus	pendus
ia	ja
tant	tant
nen	nen
serai	serai
greuanz	grevanz
ꝯ	com
pluz	pluz
sui	sui
dou	dou
trauaill	travaill
mus	mus
	
pl᷒	plu
iert	iert
li	li
guerredons	guerredons
granz	granz
Sa	sa
facon	facon
adeuiser	adeuiser
uoudroie	voudroie
tous	tous
iours	jours
oir	oir
tant	tant
est	est
bele	bele
ali	ali
loer	loer
	
ne	ne
deuroit	devroit
nus	nus
hom	hom
mentir	mentir
pour	pour
ce	ce
nen	nen
fais	fais
ablasmer	ablasmer
se	se
me	me
pain	pain
de	de
li	li
seruir	seruir
uendre	vendre
me	me
puet	puet
u	u
douner	douner
ses	ses
sers	sers
sui	sui
sanz	sanz
rachater	rachater
ne	ne
ia	ja
ne	ne
men	men
quiet	quiet
franchir	franchir
mieuz	mieuz
laim	laim
pour	pour
li	li
endurer	endurer
	
qun	qun
grant	grant
roiame	roiame
atenir	atenir
