token	normalised
Tant	Tant
de	de
soulaz	soulaz
ꝯ	com
ie	je
ai	ai
pour	pour
chanter	chanter
dame	dame
mestuet	mestvet
et	et
guerpir	guerpir
et	et
laissier	laissier
quant	quant
ie	je
ne	ne
puis	puis
en	en
uous	vous
merci	merci
trouuer	trouver
il	il
ꝯuendra	convendra
ma	ma
chancon	chancon
empirier	emprrier
pour	pour
ce	ce
le	le
lais	lais
que	que
ioie	joie
mest	mest
faillie	faillie
quant	quant
en	en
uous	vous
nai	nai
atente	atente
ne	ne
fiance	fiance
ne	ne
ia	ja
dailleurs	dailleurs
ne	ne
quer	quer
auoir	avoir
aie	aie
tout	tout
ai	ai
perdu	perdu
confort	confort
et	et
esperance	esperance
Dame	dame
de	de
uous	vous
ne	ne
me	me
sai	sai
u	u
clamer	clamer
quar	quar
sanz	sanz
amours	amours
ne	ne
men	men
puet	puet
nus	nus
uengier	vengier
pour	pour
ce	ce
mestuet	mestvet
pluz	pluz
et	et
pluz	pluz
comparer	comparer
uo	vo
grant	grant
ualour	valour
que	que
mal	mal
sen	sen
acointer	acointer
dont	dont
mociez	mociez
et	et
ma	ma
granz	granz
mescheance	mescheance
	
a	a
si	si
de	de
moi	moi
toute	toute
ioie	joie
partie	partie
	
que	que
uiure	viure
naim	naim
dont	dont
ia	ja
naurai	navrai
poissance	poissance
Com	com
escilliez	escilliez
doit	doit
folement	folement
parler	parler
cil	cil
qui	qui
amours	amours
puet	puet
si	si
desconseillier	desconseillier
ꝯ	com
el	el
fait	fait
moi	moi
qui	qui
ne	ne
mi	mi
soi	soi
guarder	guarder
si	si
croi	croi
ma	ma
mort	mort
quant	quant
ma	ma
uolente	volente
quier	quier
ie	je
nel	nel
di	di
pas	pas
dame	dame
par	par
felenie	felenie
maiz	maiz
hom	hom
destrois	destrois
est	est
touz	touz
iours	jours
en	en
balance	balance
et	et
si	si
aim	aim
tant	tant
la	la
uostre	vostre
ꝯpaignie	compaignie
que	que
li	li
desirs	desirs
double	double
ma	ma
mesestance	mesestance
Dex	dex
qui	qui
porroit	porroit
si	si
grant	grant
amour	amour
porter	porter
qui	qui
touz	touz
iours	jours
croist	croist
et	et
sanz	sanz
apeticier	apeticier
par	par
mon	mon
fin	fin
cuer	cuer
qui	qui
ne	ne
puet	puet
oublier	oublier
ce	ce
que	que
trop	trop
ueut	veut
si	si
ne	ne
meust	meust
mestier	mestier
ie	je
ni	ni
fais	fais
sens	sens
ne	ne
ie	je
ni	ni
uoi	voi
folie	folie
pour	pour
ce	ce
nasqui	nasqui
cele	cele
u	u
ie	je
nai	nai
poissance	poissance
	
que	que
me	me
destruit	destruit
raisons	raisons
et	et
abstinance	abstinance
