token	lemma	POS	morph	treated
Cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r	Cuer
desirrous	desirrer	ADVgen	NOMB.=s|GENRE=m	desirrous
apaie	apaiier	VERcjg	MODE=ind|PERS.=3|NOMB.=s	apaie
		PONfbl	MORPH=empty	
doucoius	douçor	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	doucoius
et	et	CONcoo	MORPH=empty	et
confors	confort	NOMcom	NOMB.=s|GENRE=m|CAS=r	confors
		PONfbl	MORPH=empty	
ioie	viez	ADJqua	NOMB.=s|CAS=r	ioie
damour	damoir	NOMcom	NOMB.=s|GENRE=f|CAS=r	damour
uraie	verai	ADJqua	NOMB.=s|GENRE=f|CAS=n	uraie
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
en	en1	PRE	MORPH=empty	en
baisãt	baisier	NOMcom	NOMB.=s	baisãt
mors	morir	VERppe	NOMB.=s|GENRE=m|CAS=n	mors
sencor	secors	ADVgen	NOMB.=s|GENRE=m|CAS=n	sencor
ne	ne2	ADVneg	MORPH=empty	ne
mest	maistre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	mest
autres	autre	PROind	NOMB.=p|GENRE=m|CAS=r	autres
dounez	doner	VERppe	NOMB.=p|GENRE=m|CAS=r	dounez
mar	mar	ADVgen	DEGRE=-	mar
fui	estre1	VERcjg	MODE=ind|PERS.=3|NOMB.=s	fui
onques	onque	ADVgen	DEGRE=-	onques
de	de	PRE	MORPH=empty	de
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	lui
priuez	priier	VERppe	NOMB.=p|GENRE=m|CAS=n	priuez
a	a3	PRE	MORPH=empty	a
morir	morir	VERinf	MORPH=empty	morir
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	sui
liuurez	lieue	VERppe	NOMB.=s|GENRE=m|CAS=n	liuurez
se	se	CONsub	MORPH=empty	se
trop	trop	ADVgen	DEGRE=-	trop
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
delaie	delaiier1	VERcjg	MODE=ind|PERS.=3|NOMB.=s	delaie
Priuez	priier	NOMpro	NOMB.=s|CAS=n	Priuez
baisiers	baisier	NOMcom	NOMB.=s|GENRE=m|CAS=n	baisiers
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
plaie	plaie1	VERppe	NOMB.=s|GENRE=f|CAS=n	plaie
damours	damoir	NOMcom	NOMB.=s|GENRE=f|CAS=n	damours
dedenz	dedenz	PRE	MORPH=empty	dedenz
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=r	cors
mout	mout	ADVgen	DEGRE=-	mout
mangoisse	mangier	NOMcom	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	mangoisse
et	et	CONcoo	MORPH=empty	et
esmaie	esmaiier	VERppe	NOMB.=s|CAS=n	esmaie
et	et	CONcoo	MORPH=empty	et
sine	signe1	ADJqua	PERS.=3|NOMB.=s|GENRE=m|CAS=r	sine
pert	perdre	VERcjg	MODE=ind|NOMB.=s|GENRE=m	pert
dehors	defors	ADVgen	GENRE=m|CAS=r	dehors
ha	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	ha
		PONfbl	MORPH=empty	
las	las	ADJqua	DEGRE=p	las
pour	por2	PRE	MORPH=empty	pour
quoi	coi2	PROrel	NOMB.=s|GENRE=f|CAS=i	quoi
men	mien	ADJpos	PERS.=1|NOMB.=s|GENRE=m|CAS=n	men
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	sui
uantez	vanter	VERppe	NOMB.=s|GENRE=m|CAS=n	uantez
quãt	cant1	NOMcom	MORPH=empty	quãt
ne	ne1	CONcoo	MORPH=empty	ne
men	je	ADVgen.PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	men
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	puet
uenir	venir	VERinf	MORPH=empty	uenir
santez	santé	NOMcom	NOMB.=s|CAS=r	santez
se	se	CONsub	MORPH=empty	se
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
dont	dont	ADVgen	NOMB.=s|GENRE=n	dont
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	sui
naurez	navrer	VERppe	NOMB.=s|GENRE=m|CAS=n	naurez
		PONfbl	MORPH=empty	
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	ma
bouche	boche	NOMcom	NOMB.=s|GENRE=f|CAS=n	bouche
ne	ne1	ADVneg	MORPH=empty	ne
rassaie	rassëoir	VERcjg	MODE=sub|PERS.=1|NOMB.=s|CAS=n	rassaie
Amours	amor	ADVgen	NOMB.=s|GENRE=m|CAS=n	Amours
uous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	uous
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
feistes	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=2|NOMB.=p	feistes
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mon
fin	fin2	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	fin
cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r	cuer
trichier	trichier	VERinf	MORPH=empty	trichier
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
tel	tel	DETind	NOMB.=s|GENRE=f|CAS=r	tel
sauour	sejor	NOMcom	NOMB.=s|GENRE=f|CAS=r	sauour
meistes	metre2	VERcjg	MODE=ind|PERS.=2|NOMB.=s|GENRE=f|CAS=r	meistes
en	en1	PRE	MORPH=empty	en
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
douz	douz	NOMcom	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	douz
baisier	baisier	NOMcom	MORPH=empty	baisier
amorir	amorir	VERinf	MORPH=empty	amorir
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
auez	avoir	VERcjg	MODE=ind|PERS.=2|NOMB.=s	auez
apris	aprendre	VERppe	NOMB.=s|GENRE=m|CAS=r	apris
se	se	CONsub	MORPH=empty	se
pluz	plus	ADVgen	DEGRE=-	pluz
ni	ne1	ADVneg	MORPH=empty	ni
prent	prendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	prent
quil	qui+il	PROrel	NOMB.=s|CAS=r	quil
i	i2	PROadv	MORPH=empty	i
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
pris	prendre	VERppe	NOMB.=s|GENRE=m|CAS=r	pris
dont	dont	PROrel	NOMB.=s|GENRE=m|CAS=i	dont
mest	metre2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	mest
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
auis	avoir	NOMcom	PERS.=3|NOMB.=p	auis
		PONfbl	MORPH=empty	
quen	conte1	CONsub	MORPH=empty	quen
baisant	baisier	NOMcom	NOMB.=s	baisant
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
trahistes	traire	VERcjg	MODE=ind|TEMPS=psp|PERS.=2|NOMB.=p|CAS=r	trahistes
Certes	certes	ADVgen	DEGRE=-	Certes
mout	mout	ADVgen	DEGRE=-	mout
matraisistes	martire2	VERppe	PERS.=2|NOMB.=p|GENRE=f|CAS=n	matraisistes
iuene	Vune	NOMcom	PERS.=3|NOMB.=s|GENRE=f|CAS=n|DEGRE=p	iuene
a	a3	PRE	MORPH=empty	a
cel	cel	DETdem	NOMB.=s|GENRE=m|CAS=r	cel
mestier	mestier	NOMcom	NOMB.=s|GENRE=m|CAS=r	mestier
nainc	nain	ADVneg	DEGRE=-	nainc
nului	nul	PROind	NOMB.=s|GENRE=m|CAS=r	nului
ni	ne1	ADVneg	MORPH=empty	ni
uousistes	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p	uousistes
fors	fors1	PRE	MORPH=empty	fors
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	moi
engignier	engignier1	VERinf	MORPH=empty	engignier
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	sui
li	le	DETdef	PERS.=1|NOMB.=s|GENRE=m|CAS=n	li
plus	plus	ADVgen	DEGRE=c	plus
loiauz	lëal	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p	loiauz
amis	ami	NOMcom	NOMB.=s|GENRE=m|CAS=n	amis
cui	cui	PROrel	NOMB.=s|GENRE=m|CAS=i	cui
onques	onque	ADVgen	DEGRE=-	onques
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	fust
mis	mon1	VERppe	NOMB.=s|GENRE=m|CAS=n	mis
biens	bien2	NOMcom	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	biens
pramis	prometre	VERppe	NOMB.=s|GENRE=m|CAS=n	pramis
he	en1	VERcjg	MORPH=empty	he
		PONfbl	MORPH=empty	
las	las	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	las
tant	tant	ADVgen	DEGRE=-	tant
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
pis	piz	ADVgen	NOMB.=s	pis
		PONfbl	MORPH=empty	
