token	lemma	POS	morph	treated
Tant	tant	ADVgen	DEGRE=-	Tant
de	de	PRE	MORPH=empty	de
chan	champ	NOMcom	NOMB.=s|GENRE=m|CAS=r	chan
soulaz	soler1	NOMcom	NOMB.=s|GENRE=m|CAS=r	soulaz
que	que2	PROrel	NOMB.=s|CAS=r	que
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
pour	por2	PRE	MORPH=empty	pour
chanter	chanter	VERinf	MORPH=empty	chanter
		PONfbl	MORPH=empty	
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=r	dame
mestuet	mestier	VERppe	MODE=sub|NOMB.=s	mestuet
et	et	CONcoo	MORPH=empty	et
guerpir	guerpir	VERinf	MORPH=empty	guerpir
et	et	CONcoo	MORPH=empty	et
leissier	laissier	VERinf	MORPH=empty	leissier
quant	cant1	CONsub	MORPH=empty	quant
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
ne	ne1	ADVneg	MORPH=empty	ne
puiz	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	puiz
en	en1	PRE	MORPH=empty	en
uous	vostre	DETind	PERS.=2|NOMB.=p|GENRE=f|CAS=i	uous
merci	merci	NOMcom	NOMB.=s|GENRE=f|CAS=r	merci
trouuer	trover	VERinf	MORPH=empty	trouuer
		PONfbl	MORPH=empty	
trop	trop	ADVgen	DEGRE=-	trop
conuendra	conoistre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	conuendra
mes	mon1	DETpos	PERS.=1|NOMB.=p	mes
chãcons	chascun	NOMcom	NOMB.=p|GENRE=m	chãcons
empirier	empirier	VERinf	MORPH=empty	empirier
pour	por2	PRE	MORPH=empty	pour
cele	cel	DETdem	NOMB.=s|GENRE=f|CAS=r	cele
laiz	lait1	NOMcom	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	laiz
q̃	que4	CONsub	GENRE=f	q̃
ioie	vieil	NOMcom	NOMB.=s|CAS=r	ioie
mest	metre2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	mest
faillie	falir	VERppe	NOMB.=s|GENRE=f|CAS=r	faillie
quant	cant1	CONsub	MORPH=empty	quant
en	en1	PRE	MORPH=empty	en
uous	vos	NOMcom	PERS.=2|NOMB.=p|GENRE=m|CAS=i	uous
nai	naistre	NOMcom	PERS.=1|NOMB.=s	nai
atente	atente	VERcjg	NOMB.=s|GENRE=f|CAS=r	atente
ne	ne2	CONcoo	MORPH=empty	ne
fiance	fïance	NOMcom	NOMB.=s|GENRE=f|CAS=n	fiance
ne	ne2	CONcoo	MORPH=empty	ne
ia	ja	ADVgen	MODE=ind|TEMPS=pst|NOMB.=s	ia
dail	deus	NOMcom	NOMB.=s|GENRE=m|CAS=n	dail
