token	lemma	POS	morph	treated
Tant	tant	ADVgen	DEGRE=-	Tant
de	de	PRE	MORPH=empty	de
soulaz	soleil	NOMcom	NOMB.=s|GENRE=m|CAS=r	soulaz
com	come1	CONsub	MORPH=empty	com
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
pour	por2	PRE	MORPH=empty	pour
chanter	chanter	VERinf	MORPH=empty	chanter
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=r	dame
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	m
estuet	estovoir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	estuet
et	et	CONcoo	MORPH=empty	et
guerpir	guerpir	VERinf	MORPH=empty	guerpir
et	et	CONcoo	MORPH=empty	et
laissier	laissier	VERinf	MORPH=empty	laissier
quant	cant1	CONsub	MORPH=empty	quant
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	ie
ne	ne1	ADVneg	MORPH=empty	ne
puis	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	puis
en	en1	PRE	MORPH=empty	en
vous	vostre	PROper	PERS.=2|NOMB.=p|GENRE=f|CAS=i	vous
merci	merci	NOMcom	NOMB.=s|GENRE=f|CAS=r	merci
trouver	trover	VERinf	MORPH=empty	trouver
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
convendra	covenir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	convendra
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	ma
chancon	chançon	NOMcom	NOMB.=s|GENRE=f|CAS=r	chancon
empirier	empirier	VERinf	MORPH=empty	empirier
pour	por2	PRE	MORPH=empty	pour
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
lais	laissier	NOMcom	NOMB.=s|CAS=r	lais
que	que2	CONsub	MORPH=empty	que
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=n	joie
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	m
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
faillie	falir	VERppe	NOMB.=s|GENRE=f|CAS=n	faillie
quant	cant1	CONsub	MORPH=empty	quant
en	en1	PRE	MORPH=empty	en
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i	vous
n	ne1	ADVneg	MORPH=empty	n
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
atente	atente	NOMcom	NOMB.=s|GENRE=f|CAS=r	atente
ne	ne2	CONcoo	MORPH=empty	ne
fiance	fïance	NOMcom	NOMB.=s|GENRE=f|CAS=r	fiance
