token	lemma	POS	morph	treated
ja	ja	ADVgen	DEGRE=-	ja
de	de	PRE	MORPH=empty	de
chanter	chanter	VERinf	MORPH=empty	chanter
en	en1	PRE	MORPH=empty	en
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	ma
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r	vie
ne	ne1	ADVneg	MORPH=empty	ne
quuer	cuer2	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	quuer
maiz	mais1	CONcoo	CAS=n	maiz
avoir	avoir	VERinf	MORPH=empty	avoir
corage	corage	NOMcom	NOMB.=s|GENRE=m|CAS=r	corage
ainz	ainz	ADVgen	DEGRE=-	ainz
quit	quiter	VERcjg	MODE=ind|PERS.=1|NOMB.=s	quit
mieuz	mieus	ADVgen	DEGRE=c	mieuz
qu	que4	CONsub	MORPH=empty	qu
amours	amor	NOMcom	NOMB.=s|GENRE=f|CAS=n	amours
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	m
ocie	ocire	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	ocie
pour	por2	PRE	MORPH=empty	pour
faire	faire	VERinf	MORPH=empty	faire
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	grant
damage	damage	NOMcom	NOMB.=s|GENRE=m|CAS=r	damage
tant	tant	ADVgen	DEGRE=-	tant
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
en	en2	PROadv	MORPH=empty	en
repent	repentir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	repent
maiz	mais1	CONcoo	CAS=r	maiz
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n	cil
a	a3	PRE	MORPH=empty	a
tart	tart	ADVgen	NOMB.=s|GENRE=m|CAS=r	tart
merci	merci	NOMcom	NOMB.=s|GENRE=f|CAS=r	merci
prie	priier	VERcjg	MODE=ind|PERS.=3|NOMB.=s|GENRE=f|CAS=r	prie
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n	qui
atent	atendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	atent
tant	tant	ADVgen	DEGRE=-	tant
que	que4	CONsub	MORPH=empty	que
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
pent	pendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	pent
pour	por2	PRE	MORPH=empty	pour
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
mort	mort	NOMcom	NOMB.=s|GENRE=f|CAS=r	mort
desservie	deservir	VERppe	NOMB.=s|GENRE=f|CAS=r	desservie
D	de	PRE	MORPH=empty	D
amours	amor	NOMcom	NOMB.=p|GENRE=f|CAS=r	amours
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
huient	huir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p	huient
retraire	retraire	VERinf	MORPH=empty	retraire
pour	por2	PRE	MORPH=empty	pour
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
fole	fol3	ADJqua	NOMB.=s|GENRE=f|CAS=r	fole
contenance	contenance	NOMcom	NOMB.=s|GENRE=f|CAS=r	contenance
Poisemen	Poissant	NOMpro	NOMB.=s|GENRE=m|CAS=n	Poisemen
n	ne1	ADVneg	MORPH=empty	n
en	en2	PROadv	MORPH=empty	en
puis	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	puis
el	il	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	el
faire	faire	VERinf	GENRE=m|CAS=r	faire
qu	que4	CONsub	MORPH=empty	qu
a	a3	PRE	MORPH=empty	a
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
tort	tort2	NOMcom	NOMB.=s|GENRE=m|CAS=r	tort
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
desavance	desavancier1	VERcjg	NOMB.=s|GENRE=f|CAS=n	desavance
marz	marz	NOMcom	NOMB.=s|GENRE=m|CAS=n	marz
teuz	tel	ADJind	NOMB.=p|GENRE=m|CAS=n	teuz
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=n	sa
volentez	volenté	NOMcom	NOMB.=s|GENRE=f|CAS=n	volentez
que	que4	CONsub	CAS=r	que
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n	cil
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
pluz	plus	ADVgen	DEGRE=-	pluz
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	doit
plaire	plaire	VERinf	NOMB.=s|GENRE=m	plaire
en	en2	PROadv	MORPH=empty	en
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
touz	tot	DETind	NOMB.=s|GENRE=m|CAS=n	touz
tanz	tant	ADVgen	CAS=n|DEGRE=-	tanz
pluz	plus	ADVgen	DEGRE=c	pluz
grevez	grever	VERppe	NOMB.=s|GENRE=m|CAS=n	grevez
pour	por2	PRE	MORPH=empty	pour
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
trahitresse	traire	VERppe	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	trahitresse
vaire	vaire	ADJqua	GENRE=f|CAS=n|DEGRE=p	vaire
merci	merci	NOMcom	NOMB.=s|GENRE=f|CAS=n	merci
coite	coite	ADJqua	MODE=ind|NOMB.=s|GENRE=m|CAS=n	coite
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
soit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	soit
vaire	vaire	VERinf	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	vaire
que	que2	CONsub	MORPH=empty	que
Juftice	Judice	NOMpro	NOMB.=s|GENRE=f|CAS=n	Juftice
ne	ne2	CONcoo	MORPH=empty	ne
venjance	venjance	NOMcom	PERS.=3|NOMB.=s|CAS=n	venjance
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n	dame
ne	ne1	CONcoo	MORPH=empty	ne
peu	pöoir	NOMcom	NOMB.=s	peu
mie	mie	ADVneg	MORPH=empty	mie
taire	taire	VERinf	MORPH=empty	taire
ne	ne2	CONcoo	MORPH=empty	ne
ne	ne1	ADVneg	MORPH=empty	ne
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	sai
dont	dont	PROrel	NOMB.=s|GENRE=n|CAS=i	dont
j	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	j
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
pesance	pesance	NOMcom	NOMB.=s|GENRE=f|CAS=r	pesance
mout	mout	ADVgen	DEGRE=p	mout
.	.	PONfrt	MORPH=empty	.
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
folement	folement	ADVgen	DEGRE=-	folement
par	par	PRE	MORPH=empty	par
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
douner	doner	VERinf	NOMB.=s|GENRE=m	douner
men	mien	ADJpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	men
devroit	devoir	VERcjg	MODE=con|PERS.=3|NOMB.=s	devroit
contraire	contraire1	VERinf	NOMB.=s|CAS=r	contraire
conme	come1	CONsub	MORPH=empty	conme
fol	fol3	ADJqua	NOMB.=s|GENRE=m|CAS=n	fol
de	de	PRE	MORPH=empty	de
ses	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	ses
pere	pere	NOMcom	NOMB.=s|GENRE=m|CAS=r	pere
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
en	en1	PRE	MORPH=empty	en
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
n	ne1	ADVneg	MORPH=empty	n
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
ainc	ainz	ADVgen	DEGRE=-	ainc
que	que4	CONsub	MORPH=empty	que
refaire	refaire1	VERinf	NOMB.=s	refaire
Touz	tot	DETind	NOMB.=p|GENRE=m|CAS=r	Touz
jours	jor	NOMcom	NOMB.=p|GENRE=m|CAS=r	jours
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
aurai	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	aurai
escondite	escondire	VERppe	NOMB.=s|GENRE=m	escondite
maiz	mais1	CONcoo	CAS=r|DEGRE=-	maiz
or	or4	ADVgen	CAS=r|DEGRE=-	or
i	i2	PROadv	MORPH=empty	i
voi	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	voi
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	m
esmaie	esmaiier	VERcjg	MODE=ind|PERS.=3|NOMB.=s	esmaie
quant	cant1	CONsub	MORPH=empty	quant
celi	cel	PROdem	NOMB.=s|GENRE=m|CAS=n	celi
qui	cui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
suen	suen	PROpos	PERS.=3|NOMB.=s|GENRE=m|CAS=n	suen
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
quite	quite	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	quite
tolt	tolir	ADVgen	MODE=ind|CAS=n	tolt
tout	tot	DETind	NOMB.=s|GENRE=m|CAS=r	tout
son	son4	ADJpos	PERS.=3|NOMB.=s|GENRE=m|CAS=n	son
bien	bien1	NOMcom	NOMB.=s|GENRE=m|DEGRE=p	bien
et	et	CONcoo	MORPH=empty	et
delaie	delaiier1	ADJqua	PERS.=3|NOMB.=s|GENRE=f|CAS=n|DEGRE=p	delaie
nus	nos1	PROind	NOMB.=s|GENRE=m|CAS=n	nus
ne	ne1	ADVneg	MORPH=empty	ne
s	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
i	i2	PROadv	MORPH=empty	i
devroit	devoir	VERcjg	MODE=con|PERS.=3|NOMB.=s	devroit
fier	fier	VERinf	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	fier
d	de	PRE	MORPH=empty	d
endroit	endroit	PRE	CAS=r	endroit
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	moi
soit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	soit
el	en1+le	PRE.DETdef	NOMB.=s|GENRE=f|CAS=r	el
maudite	maudire	NOMcom	NOMB.=s|GENRE=f|CAS=r	maudite
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n	la
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r	joie
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
vient	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	vient
d	de	PRE	MORPH=empty	d
amer	Belamer	VERinf	NOMB.=s|CAS=r	amer
que	que4	PROrel	MORPH=empty	que
j	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	j
oï	öir	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=s	oï
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	grant
or	or1	NOMcom	NOMB.=s|GENRE=m|CAS=r	or
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
petite	petit	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	petite
A	a3	PRE	MORPH=empty	A
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	grant
tort	tort2	NOMcom	NOMB.=s|GENRE=m|CAS=r	tort
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
aurai	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	aurai
maudite	maudire	VERppe	NOMB.=s|GENRE=f|CAS=r	maudite
del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	del
monde	monde1	NOMcom	NOMB.=s|GENRE=m|CAS=r	monde
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
pluz	plus	ADVgen	DEGRE=-	pluz
veraie	verai	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	veraie
pour	por2	PRE	MORPH=empty	pour
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
tieg	tenir1	VERcjg	MODE=ind|PERS.=2|NOMB.=s	tieg
pour	por2	PRE	MORPH=empty	pour
trahitre	traire	NOMcom	NOMB.=s|GENRE=m|CAS=r	trahitre
et	et	CONcoo	MORPH=empty	et
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
met	metre2	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	met
en	en1	PRE	MORPH=empty	en
