token	lemma	POS	morph	treated
mes	mon1	DETpos	PERS.=1|GENRE=m|CAS=r	mes
cuers	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=n	cuers
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fait
penser	penser	VERinf	MORPH=empty	penser
ancoiz	ainçois	ADVgen	NOMB.=p|GENRE=m|CAS=r|DEGRE=-	ancoiz
mesprent	mesprendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	mesprent
pluz	plus	ADVgen	DEGRE=c	pluz
d	de	PRE	MORPH=empty	d
amer	amer1	VERinf	NOMB.=s	amer
et	et	CONcoo	MORPH=empty	et
si	si	ADVgen	DEGRE=-	si
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	dit
et	et	CONcoo	MORPH=empty	et
semont	semondre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	semont
et	et	CONcoo	MORPH=empty	et
a	a3	PRE	MODE=ind|TEMPS=pst|PERS.=3	a
onde	onde	NOMcom	NOMB.=s|GENRE=f|CAS=r	onde
que	que4	CONsub	MORPH=empty	que
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
face	faire	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s	face
encor	encore	ADVgen	DEGRE=-	encor
pluz	plus	ADVgen	DEGRE=-	pluz
maus	mal1	NOMcom	NOMB.=p|CAS=r|DEGRE=p	maus
avoir	avoir	VERinf	MORPH=empty	avoir
maiz	mais1	CONcoo	NOMB.=p|GENRE=f|CAS=r|DEGRE=c	maiz
amours	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r	amours
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	m
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
si	si	ADVgen	DEGRE=-	si
mis	metre2	VERppe	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mis
en	en1	PRE	MORPH=empty	en
nonchaloir	nonchaloir	VERinf	MORPH=empty	nonchaloir
u	o3	PROrel	NOMB.=s	u
que	que4	PROrel	MORPH=empty	que
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
ne	ne1	ADVneg	MORPH=empty	ne
cuit	cuidier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	cuit
que	que4	CONsub	MORPH=empty	que
nus	nos1	DETind	PERS.=1|NOMB.=s|GENRE=m|CAS=n	nus
biens	bien1	NOMcom	NOMB.=p|GENRE=m|CAS=n	biens
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	m
en	en2	PROadv	MORPH=empty	en
desponde	despondre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	desponde
Ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	Ce
qu	que4	PROrel	GENRE=n	qu
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
n	ne1	ADVneg	MORPH=empty	n
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
si	si	ADVgen	DEGRE=-	si
estraigne	estraime	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	estraigne
fait	faire	VERppe	NOMB.=s|GENRE=f|CAS=n	fait
Boine	bonir	NOMpro	NOMB.=s|GENRE=f|CAS=n	Boine
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n	dame
vu	vos	PROrel	NOMB.=s|GENRE=m|CAS=n	vu
prie	priier	NOMcom	MODE=ind|TEMPS=pst|NOMB.=s|GENRE=m	prie
de	de	PRE	MORPH=empty	de
chanter	chanter	VERinf	MORPH=empty	chanter
doivent	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	doivent
requerre	requerre	VERinf	MORPH=empty	requerre
par	par	PRE	MORPH=empty	par
mentir	mentir	VERinf	MORPH=empty	mentir
u	où	PROrel	NOMB.=s	u
qu	que4	PROrel	MORPH=empty	qu
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n	il
ne	ne1	ADVneg	MORPH=empty	ne
seussent	savoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p	seussent
parler	parler	VERinf	MORPH=empty	parler
nesun	neson	DETind	NOMB.=s|GENRE=m|CAS=r	nesun
language	langage	NOMcom	NOMB.=s|GENRE=m|CAS=r	language
