token	lemma	POS	morph	treated
a	a3	PRE	MORPH=empty	a
l	le	DETdef	NOMB.=s|GENRE=m|CAS=r	l
entrant	entrer	NOMcom	NOMB.=s|GENRE=m|CAS=r	entrant
d	de	PRE	MORPH=empty	d
este	estre1	NOMcom	NOMB.=s|GENRE=m|CAS=r	este
que	que4	CONsub	NOMB.=s	que
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
tans	tens	NOMcom	NOMB.=s|GENRE=m|CAS=n	tans
conmence	comencier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	conmence
que	que4	CONsub	MORPH=empty	que
i	i2	PROper	MORPH=empty	i
oi	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	oi
seur	sor2	PRE	MORPH=empty	seur
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
flour	flor1	NOMcom	NOMB.=s|GENRE=f|CAS=r	flour
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r	les
oisfauz	ofiafle	NOMcom	NOMB.=p|GENRE=m|CAS=r	oisfauz
tentir	tentir2	VERinf	MORPH=empty	tentir
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	sui
soupris	sorprendre	VERppe	NOMB.=s|GENRE=m|CAS=n	soupris
d	de	PRE	MORPH=empty	d
amoursumes	amor	NOMpro	PERS.=1|NOMB.=p|GENRE=f|CAS=r	amoursumes
cuers	cuer2	NOMcom	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	cuers
balance	balance	ADJqua	NOMB.=s|GENRE=f|CAS=r	balance
diex	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n	diex
m	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	m
en	en2	PROadv	MORPH=empty	en
doint	doner	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	doint
avoir	avoir	VERinf	MORPH=empty	avoir
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r	joie
a	a3	PRE	MORPH=empty	a
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mon
plaisir	plaisir	NOMcom	NOMB.=s|GENRE=m|CAS=r	plaisir
u	o3	PROrel	GENRE=m	u
autrement	autrement	ADVgen	DEGRE=-	autrement
		PONfbl	MORPH=empty	
cuit	cuidier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	cuit
morir	morir	VERinf	MORPH=empty	morir
sanz	sans	PRE	MORPH=empty	sanz
faillance	faille3	NOMcom	NOMB.=s|GENRE=f|CAS=r	faillance
car	car	CONcoo	MORPH=empty	car
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
n	ne1	ADVneg	MORPH=empty	n
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
el	en1+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	el
mont	monde1	NOMcom	NOMB.=s|GENRE=m|CAS=r	mont
autre	autre	ADJind	NOMB.=s|GENRE=f|CAS=r	autre
soustenance	sostenance	NOMcom	NOMB.=s|GENRE=f|CAS=r	soustenance
qu	que4	CONsub	GENRE=f	qu
amours	amor	NOMcom	NOMB.=s|GENRE=f|CAS=n	amours
et	et	CONcoo	MORPH=empty	et
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
rienz	rien	NOMcom	NOMB.=s|GENRE=f|CAS=r	rienz
que	que2	PROrel	NOMB.=s|GENRE=f|CAS=r	que
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
pluz	plus	ADVgen	PERS.=1|DEGRE=c	pluz
desir	desirrer	ADVgen	MORPH=empty	desir
n	ne1	ADVneg	MORPH=empty	n
