token	normalised
Humilitez	oumilitez
et	et
franchise	franchise
doucours	doucours
deboneretez	deboneretez
	
est	est
bien	bien
alee	alee
et	et
remise	remise
et	et
orgueus	orgveus
et	et
faussetez	faussetez
	
repris	repris
et	et
enracinez	enracinez
et	et
amours	amours
mout	mout
entreprise	entreprise
ie	je
m	m
en	en
plaig	plaig
pout	pout
mon	mon
seruise	seruise
qui	qui
tant	tant
m	m
en	en
est	est
demourez	demourez
	
que	que
ie	je
cuit	cuit
qu	qu
il	il
est	est
remez	remez
He	Eé
diex	diex
pour	pour
coi	coi
ne	ne
s	s
est	est
mise	mise
doucours	doucours
auec	avec
simpletez	simpletez
en	en
cele	cele
qui	qui
par	par
deuisea	devisea
en	en
li	li
toutes	toutes
biautez	brautez
sesuis	sesuis
fres	fres
et	et
coulourez	coulourez
exuairs	exvairs
bouche	bouche
biẽ	bienre
a	a
ssi	ssi
secors	secors
qui	qui
m	m
alume	alume
et	et
atise	atise
maiz	maiz
trop	trop
i	i
truis	truis
de	de
durtez	durtez
pout	pout
ce	ce
paroi	paroi
lꝯ	lom
irez	irez
Touz	Touz
sui	sui
a	a
uostre	vostre
deuise	devise
dame	dame
a	a
grant	grant
tort	tort
m	m
ociez	ociez
uengance	vengance
auez	avez
d	d
e	e
ce	ce
prise	prise
donc	donc
li	li
mesfaiz	mesfaiz
nest	nest
prouuez	prouvez
certes	certes
uers	vers
moi	moi
mesprendez	mesprendez
qui	qui
sui	sui
a	a
uostre	vostre
seruise	seruise
et	et
uous	vous
m	m
auez	avez
la	la
mort	mort
qui	qui
se	se
maiz	maiz
le	le
plus	plus
i	i
perderez	perderez
	
mainz	mainz
des	des
uostres	vostres
enaurez	enaurez
Ia	ma
par	par
uous	vous
n	n
iert	iert
marz	marz
raquise	raquise
la	la
perte	perte
que	que
uous	vous
ferez	ferez
	
de	de
moi	moi
uous	vous
la	la
consentez	consentez
se	se
uous	vous
uostre	vostre
home	home
falez	falez
qui	qui
tant	tant
uous	vous
par	par
aimme	aimme
et	et
prise	prise
et	et
quisentente	quisentente
ia	ja
mise	mise
iamaiz	Kamaiz
nul	nul
n	n
en	en
retendrez	retendrez
	
si	si
soit	soit
a	a
uos	vos
uolentez	volentez
Douce	douce
trestout	trestout
sanz	sanz
faintise	faintise
	
uous	vous
aimet	aimet
en	en
loiautez	loiautez
se	se
de	de
uous	vous
ne	ne
m	m
est	est
pramise	pramise
par	par
tanz	tanz
ioies	joies
et	et
santez	santez
donc	donc
sui	sui
a	a
doleur	doleur
liurez	liurez
se	se
seur	seur
ce	ce
n	n
estes	estes
pourquise	pourquise
que	que
uous	vous
seruir	seruir
m	m
e	e
soufrez	soufrez
	
ne	ne
ia	ja
mar	mar
pluz	pluz
en	en
ferez	ferez
Demoisele	demoisele
uous	vous
orrez	orrez
	
ma	ma
chancon	chancon
dont	dont
la	la
reprise	reprise
	
est	est
uostre	vostre
bien	bien
l	l
ai	ai
apris	apris
e	e
bone	bone
en	en
cest	cest
point	point
uous	vous
tenez	tenez
	
quar	quar
bien	bien
s	s
est	est
auques	auques
alez	alez
