token	normalised
SEignor	Seignor
saichies	saichies
qͥ	qui
or	or
ne	ne
s	s
en	en
ira	ira
en	en
cele	cele
t̃re	terre
ou	ou
dex	dex
fu	fu
mors	mors
⁊	et
uis	vis
⁊	et
qui	qui
la	la
crois	crois
d	d
outremer	outremer
ne	ne
penra	penra
a	a
paines	paines
mais	mais
ira	ira
en	en
paradis	paradis
qui	qui
a	a
en	en
sor	sor
pitienerameinbrance	pitienerameinbe
au	au
haut	haut
seignor	seignor
doit	doit
querre	querre
sa	sa
ueniance	veniance
⁊	et
deliurer	delivrer
sa	sa
terre	terre
⁊	et
son	son
Tuit	Tuit
li	li
mauues	mauves
demorront	demorront
par	par
de	de
ca	ça
qui	qui
n	n
aiment	aiment
dieu	dieu
bñ	bien
ne	ne
pais	pais
honor	honor
ne	ne
pris	pris
⁊	et
chascuns	chascuns
dit	dit
ma	ma
feme	feme
que	que
fera	fera
ie	je
ne	ne
lairoie	lairoie
a	a
nul	nul
fuer	fuer
mes	mes
amis	amis
cil	cil
sont	sont
cheoit	cheoit
en	en
tropi	tropi
fole	fole
atendance	atendance
qu	qu
il	il
n	n
est	est
amis	amis
fors	fors
que	que
cil	cil
sans	sans
doutance	doutance
qui	qui
por	por
nos	nos
fu	fu
en	en
la	la
uraie	vraie
crois	crois
mis	mis
Or	Or
s	s
en	en
iront	iront
cil	cil
uaillant	vaillant
bacheler	bacheler
qui	qui
aiment	aiment
dieu	dieu
⁊	et
l	l
ennor	ennor
de	de
cest	cest
mont	mont
qui	qui
sagement	sagement
uuelent	vuelent
a	a
dieu	dieu
aler	aler
⁊	et
li	li
morueux	morveux
li	li
cendreux	cendreux
demorrõt	demorront
auugle	avugle
les	les
unt	unt
de	de
ce	ce
ne	ne
dout	dout
ie	je
mie	mie
qui	qui
i	i
secors	secors
ne	ne
fait	fait
dieu	dieu
en	en
sa	sa
uie	vie
⁊	et
por	por
si	si
pou	pou
per	per
la	la
gloire	gloire
dou	dou
mont	mont
Diex	Diex
se	se
lessa	lessa
en	en
crois	crois
por	por
nos	nos
pener	pener
⁊	et
nos	nos
dira	dira
au	au
ior	jor
que	que
tuit	tuit
uendront	vendront
uos	vos
qui	qui
ma	ma
crois	crois
n	n
i	i
aidastes	aidastes
aporter	aporter
uos	vos
en	en
irez	irez
la	la
ou	ou
mi	mi
angle	angle
sont	sont
la	la
me	me
uerrez	verrez
⁊	et
ma	ma
mere	mere
marie	marie
⁊	et
uos	vos
par	par
cui	cui
ie	je
n	n
oi	oi
onq̃s	onques
aie	aie
descendres	descendres
tuit	tuit
en	en
enfer	enfer
le	le
parfont	parfont
Chascuns	Chascuns
cuide	cuide
demorer	demorer
toz	toz
haitiez	haitiez
⁊	et
que	que
iames	james
ne	ne
doie	doie
mal	mal
auoir	avoir
ainsi	ainsi
les	les
tiẽt	tient
anemis	anemis
⁊	et
pechiez	pechiez
que	que
il	il
n	n
ont	ont
s	s
en	en
hardement	hardement
ne	ne
pooir	pooir
biax	biax
sir	sir
diex	diex
ostes	ostes
leur	leur
tel	tel
pensee	pensee
⁊	et
nos	nos
metez	metez
en	en
la	la
uostre	vostre
contree	contree
si	si
saintement	saintement
que	que
uos	vos
puissons	puissons
ueoir	veoir
Douce	Douce
dame	dame
roine	roine
coronee	coronee
proiez	proiez
por	por
nos	nos
uirge	virge
bien	bien
auree	avree
⁊	et
puis	puis
apres	apres
ne	ne
nos	nos
puet	puet
mescheoir	mescheoir
